Customer ID,Calculated Total
250,944.3775.5523.61
250,3811.5304.9295.29
251,1796.04143.6844.9
251,1525.23122.0238.13
251,171.0813.694.28
251,8847.3707.78221.18
251,944.3775.5523.61
251,418.9533.5210.47
251,3413.25273.0685.33
251,6987.75559.02174.69
252,566.0945.2914.15
253,1796.04143.6844.9
253,270.8121.666.77
253,171.0813.694.28
253,8847.3707.78221.18
253,944.3775.5523.61
253,6987.75559.02174.69
253,6987.75559.02174.69
254,1796.04143.6844.9
254,171.0813.694.28
254,272.121.776.8
254,8847.3707.78221.18
254,26455.282116.42661.38
254,944.3775.5523.61
254,240.7219.266.02
254,273.721.96.84
255,1796.04143.6844.9
255,1796.04143.6844.9
255,171.0813.694.28
255,8847.3707.78221.18
255,944.3775.5523.61
255,402.7332.2210.07
255,6987.75559.02174.69
255,6987.75559.02174.69
255,7132.13570.57178.3
256,1796.04143.6844.9
256,171.0813.694.28
256,8847.3707.78221.18
256,8847.3707.78221.18
256,944.3775.5523.61
256,564.245.1414.1
256,6987.75559.02174.69
256,6987.75559.02174.69
256,43878.453510.281096.96
256,7132.13570.57178.3
257,1525.23122.0238.13
257,8847.3707.78221.18
257,171.0813.694.28
257,389.6631.179.74
257,6987.75559.02174.69
258,1796.04143.6844.9
258,171.0813.694.28
258,171.0813.694.28
258,8847.3707.78221.18
258,944.3775.5523.61
258,944.3775.5523.61
258,515.6941.2512.89
259,694.1755.5317.35
259,1796.04143.6844.9
259,171.0813.694.28
259,171.0813.694.28
259,8847.3707.78221.18
259,8847.3707.78221.18
259,944.3775.5523.61
259,944.3775.5523.61
259,347.4527.88.69
259,6987.75559.02174.69
260,171.0813.694.28
260,171.0813.694.28
260,8847.3707.78221.18
260,8847.3707.78221.18
260,944.3775.5523.61
260,366.3529.319.16
260,551.8844.1513.8
260,6987.75559.02174.69
261,270.8121.666.77
261,8847.3707.78221.18
261,272.4421.86.81
261,6987.75559.02174.69
